Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.97112E-3,64.809257731,0.829154231,0.013880856,0.674666667,0.816
1.98164E-3,65.00742218,0.830758196,0.013784461,0.677333333,0.816
1.99158E-3,65.405377922,0.832258549,0.013591671,0.682666667,0.816
1.99445E-3,65.604822561,0.832689338,0.013495277,0.685333333,0.816
2.00565E-3,65.781195219,0.834361918,0.013398882,0.685333333,0.816
2.00727E-3,66.006269274,0.834601029,0.013302487,0.688,0.824
2.01155E-3,66.408210338,0.835234429,0.013109697,0.693333333,0.824
2.01559E-3,66.609769585,0.835831043,0.013013302,0.696,0.824
2.01785E-3,66.811554153,0.836162307,0.012916908,0.698666667,0.824
2.02148E-3,67.013702169,0.836695238,0.012820513,0.701333333,0.824
2.02782E-3,67.41882021,0.837620542,0.012627723,0.701333333,0.824
2.0298E-3,67.621799766,0.837908028,0.012531328,0.701333333,0.824
2.03072E-3,67.824872145,0.838042851,0.012434933,0.704,0.824
2.0337E-3,68.028242273,0.83847456,0.012338539,0.706666667,0.824
2.04308E-3,68.436354188,0.839826792,0.012145749,0.712,0.824
2.05014E-3,68.641367961,0.840837077,0.012049354,0.712,0.824
2.06093E-3,68.847460966,0.842369502,0.011952959,0.714666667,0.832
2.06612E-3,69.054072597,0.843100652,0.011856564,0.717333333,0.832
2.0673E-3,69.26080267,0.843267155,0.01176017,0.72,0.832
2.07302E-3,69.675084837,0.844068834,0.01156738,0.725333333,0.832
2.08734E-3,69.883818644,0.846057301,0.011470985,0.728,0.84
2.08833E-3,70.092651444,0.846193851,0.01137459,0.730666667,0.84
2.08849E-3,70.301500116,0.846215733,0.011278195,0.733333333,0.84
2.08903E-3,70.510402751,0.84629011,0.011181801,0.736,0.84
2.09463E-3,70.848274803,0.847060173,0.010989011,0.741333333,0.84
2.0984E-3,71.138984541,0.847576464,0.010892616,0.744,0.848
2.10254E-3,71.349238764,0.848141248,0.010796221,0.746666667,0.848
2.11003E-3,71.560241275,0.849156503,0.010699826,0.749333333,0.848
2.11151E-3,71.771392736,0.849357781,0.010603432,0.752,0.848
2.12182E-3,72.194898946,0.850742587,0.010410642,0.757333333,0.848
2.12756E-3,72.407655444,0.851509733,0.010314247,0.76,0.848
2.13751E-3,72.62140688,0.852828235,0.010217852,0.762666667,0.848
2.14123E-3,72.835530051,0.853317851,0.010121457,0.765333333,0.848
2.14186E-3,73.049715705,0.853399988,0.010025063,0.768,0.848
2.14853E-3,73.264568855,0.854274579,0.009928668,0.770666667,0.848
2.15441E-3,73.695374254,0.85504029,0.009735878,0.776,0.848
2.15666E-3,73.911040722,0.855333188,0.009639483,0.778666667,0.848
2.16296E-3,74.127336423,0.856146913,0.009543088,0.781333333,0.856
